year,qtr,fed_rate,10y3mo,bdi,r
1985,1,8.476666666666668,3.080983606557376,978.0,0.0
1985,3,7.900000000000001,3.0253225806451614,819.0,0.0
1985,4,8.103333333333332,2.7606349206349203,820.0,0.0
1986,2,6.919999999999999,1.3681967213114752,620.0,0.0
1986,4,6.2666666666666675,1.7804687499999996,748.0,0.0
1987,1,6.22,1.7947540983606551,945.0,0.0
1987,3,6.843333333333334,2.426153846153845,1042.0,0.0
1987,4,6.916666666666668,2.8675409836065566,1299.0,0.0
1988,1,6.663333333333334,2.4048333333333334,1409.0,0.0
1988,3,7.9833333333333325,1.9846031746031756,1291.0,0.0
1988,4,8.469999999999999,1.5481250000000004,1570.0,0.0
1989,2,9.726666666666668,0.10222222222222224,1459.0,0.0
1989,4,8.613333333333333,0.08904761904761906,1594.0,1.0
1990,1,8.25,0.4683606557377049,1453.0,1.0
1990,2,8.243333333333332,0.6828571428571428,1172.0,1.0
1990,4,7.743333333333332,0.9978125,1400.0,1.0
1991,1,6.426666666666668,1.8395081967213112,1651.0,0.0
1991,3,5.6433333333333335,2.316935483870968,1554.0,0.0
1992,1,4.023333333333333,3.2761904761904765,1362.0,0.0
1992,2,3.77,3.5456451612903233,1149.0,0.0
1992,3,3.2566666666666664,3.4573846153846146,1152.0,0.0
1993,1,3.04,3.119310344827587,1438.0,0.0
1993,3,3.06,2.6895312500000013,1409.0,0.0
1993,4,2.99,2.6373437500000003,1196.0,0.0
1994,2,3.94,2.910983606557377,1371.0,0.0
1994,3,4.486666666666667,2.7157812500000005,1571.0,0.0
1994,4,5.166666666666667,2.6309375,1939.0,0.0
1995,2,6.02,0.97515625,2115.0,0.0
1995,3,5.796666666666668,0.8395081967213112,1971.0,0.0
1995,4,5.719999999999999,0.7499999999999998,1543.0,0.0
1996,2,5.243333333333333,1.355873015873016,1328.0,0.0
1996,3,5.306666666666668,1.4182258064516131,1157.0,0.0
1996,4,5.28,1.2819999999999998,1423.0,0.0
1997,2,5.5233333333333325,1.4175409836065578,1284.0,0.0
1997,4,5.506666666666668,0.9381250000000004,1183.0,0.0
1998,1,5.5200000000000005,0.4078688524590165,948.0,0.0
1998,3,5.533333333333334,0.3398461538461537,881.0,0.0
1999,1,4.733333333333333,0.5661016949152541,907.0,0.0
1999,2,4.746666666666667,0.8125000000000002,1026.0,0.0
1999,4,5.306666666666668,0.894375,1344.0,0.0
2000,2,6.2733333333333325,0.23476190476190484,1594.0,0.0
2000,3,6.52,-0.06516129032258065,1677.0,0.0
2000,4,6.473333333333334,-0.27406249999999993,1478.0,0.0
2001,2,4.326666666666667,1.2696774193548388,1301.0,1.0
2001,3,3.4966666666666666,1.4135483870967749,904.0,1.0
2001,4,2.1333333333333333,2.083125,984.0,0.0
2002,2,1.75,3.2577777777777777,1078.0,0.0
2002,4,1.4433333333333334,2.70875,1569.0,0.0
2003,1,1.25,2.793333333333333,1937.0,0.0
2003,2,1.2466666666666668,2.7612903225806464,2187.0,0.0
2003,3,1.0166666666666666,3.068548387096774,3436.0,0.0
2003,4,0.9966666666666666,3.1874603174603173,4320.0,0.0
2004,1,1.0033333333333332,3.137666666666667,5217.0,0.0
2004,2,1.01,3.227460317460317,3007.0,0.0
2004,3,1.4333333333333331,2.965538461538461,4322.0,0.0
2004,4,1.95,2.4796774193548385,5892.0,0.0
2005,1,2.47,1.5698333333333332,4541.0,0.0
2005,2,2.9433333333333334,1.32483870967742,3387.0,0.0
2005,2,2.9433333333333334,1.32483870967742,1833.0,0.0
2005,4,3.98,0.8687500000000002,2491.0,0.0
2006,2,4.906666666666667,0.14859375000000005,2569.0,0.0
2006,3,5.246666666666667,-0.045737704918032786,3868.0,0.0
2006,4,5.246666666666667,-0.22698412698412695,4285.0,0.0
2006,4,5.246666666666667,-0.22698412698412695,4740.0,0.0
2007,1,5.256666666666667,-0.25672131147540994,5237.0,0.0
2007,2,5.25,-0.09999999999999996,6086.0,0.0
2007,3,5.073333333333333,0.1042857142857143,7472.0,0.0
2007,4,4.496666666666667,0.50515625,10457.0,1.0
2008,1,3.1766666666666663,1.6468253968253967,7558.0,1.0
2008,2,2.0866666666666664,2.193934426229508,11143.0,1.0
2008,3,1.94,2.2203174603174607,6204.0,1.0
2008,4,0.5066666666666666,2.7175,839.0,1.0
2009,1,0.18333333333333332,2.725409836065574,1805.0,1.0
2009,2,0.17999999999999994,2.949032258064515,2610.0,1.0
2009,3,0.15666666666666665,3.234307692307693,2482.0,0.0
2009,4,0.12,3.202580645161291,3065.0,0.0
2010,2,0.19333333333333336,3.3574999999999995,2828.0,0.0
2010,3,0.18666666666666668,2.8501562500000004,2384.0,0.0
2010,4,0.18666666666666668,2.7939062500000005,2459.0,0.0
2010,4,0.18666666666666668,2.7939062500000005,1362.0,0.0
2011,1,0.15666666666666668,3.151499999999998,1238.0,0.0
2011,2,0.09333333333333334,3.0885483870967754,1435.0,0.0
2011,4,0.07333333333333335,2.349062499999999,1795.0,0.0
2012,1,0.10333333333333332,1.8483870967741942,857.0,0.0
2012,3,0.14333333333333334,1.5908196721311472,854.0,0.0
2012,4,0.16,1.6674603174603166,838.0,0.0
2013,2,0.11666666666666665,1.987301587301587,964.0,0.0
2013,3,0.08333333333333333,2.4416129032258067,1438.0,0.0
2013,4,0.08666666666666667,2.4867187499999988,1865.0,0.0
2013,4,0.08666666666666667,2.4867187499999988,1272.0,0.0
2014,1,0.07333333333333335,2.685079365079366,975.0,0.0
2014,3,0.09000000000000001,2.5104838709677417,957.0,0.0
2014,4,0.1,2.4077777777777767,1192.0,0.0
2014,4,0.1,2.4077777777777767,627.0,0.0
2015,2,0.12333333333333335,2.055555555555556,644.0,0.0
2015,3,0.1366666666666667,2.173692307692308,877.0,0.0
2015,4,0.16,2.0856451612903224,425.0,0.0
2016,2,0.37333333333333335,1.5465079365079364,649.0,0.0
2016,4,0.45,1.5546874999999998,906.0,0.0
2016,4,0.45,1.5546874999999998,1053.0,0.0
2017,2,0.95,1.4437500000000003,1011.0,0.0
2017,4,1.2033333333333331,1.2806349206349203,1372.0,0.0
2018,1,1.4466666666666663,1.1095081967213116,1200.0,0.0
2018,3,1.923333333333333,0.9260317460317458,1523.0,0.0
2018,4,2.22,0.8588888888888889,1156.0,0.0
2018,4,2.22,0.8588888888888889,809.0,0.0
2019,2,2.396666666666667,0.013684210526315795,1246.0,0.0
2019,2,2.396666666666667,0.013684210526315795,1681.0,0.0
