Year,Month,Rating,Serial
1840,1,Cold,1
1840,2,Cold,2
1840,3,Cold,3
1840,4,Cool,4
1840,5,Cool,5
1840,6,Cool,6
1840,7,OK,7
1840,8,Cool,8
1840,9,Cool,9
1840,10,Cool,10
1840,11,Cold,11
1840,12,Cold,12
1841,1,Cold,13
1841,2,Cold,14
1841,3,Cold,15
1841,4,Cool,16
1841,5,Cool,17
1841,6,OK,18
1841,7,OK,19
1841,8,Cool,20
1841,9,Cool,21
1841,10,Cool,22
1841,11,Cold,23
1841,12,Cold,24
1842,1,Cold,25
1842,2,Cold,26
1842,3,Cold,27
1842,4,Cool,28
1842,5,Cool,29
1842,6,Cool,30
1842,7,Cool,31
1842,8,OK,32
1842,9,Cool,33
1842,10,Cool,34
1842,11,Cold,35
1842,12,Cold,36
1843,1,Cold,37
1843,2,Cold,38
1843,3,Cold,39
1843,4,Cool,40
1843,5,Cool,41
1843,6,Cool,42
1843,7,Cool,43
1843,8,OK,44
1843,9,Cool,45
1843,10,Cool,46
1843,11,Cold,47
1843,12,Cold,48
1844,1,Cold,49
1844,2,Cold,50
1844,3,Cold,51
1844,4,Cool,52
1844,5,Cool,53
1844,6,Cool,54
1844,7,OK,55
1844,8,Cool,56
1844,9,Cool,57
1844,10,Cool,58
1844,11,Cold,59
1844,12,Cold,60
1845,1,Cold,61
1845,2,Cold,62
1845,3,Cold,63
1845,4,Cool,64
1845,5,Cool,65
1845,6,Cool,66
1845,7,OK,67
1845,8,OK,68
1845,9,Cool,69
1845,10,Cool,70
1845,11,Cold,71
1845,12,Cold,72
1846,1,Cold,73
1846,2,Cold,74
1846,3,Cold,75
1846,4,Cool,76
1846,5,Cool,77
1846,6,Cool,78
1846,7,OK,79
1846,8,OK,80
1846,9,Cool,81
1846,10,Cool,82
1846,11,Cool,83
1846,12,Cold,84
1847,1,Cold,85
1847,2,Cold,86
1847,3,Cold,87
1847,4,Cold,88
1847,5,Cool,89
1847,6,Cool,90
1847,7,OK,91
1847,8,Cool,92
1847,9,Cool,93
1847,10,Cool,94
1847,11,Cold,95
1847,12,Cold,96
1848,1,Cold,97
1848,2,Cold,98
1848,3,Cold,99
1848,4,Cool,100
1848,5,Cool,101
1848,6,Cool,102
1848,7,Cool,103
1848,8,OK,104
1848,9,Cool,105
1848,10,Cool,106
1848,11,Cold,107
1848,12,Cold,108
1849,1,Cold,109
1849,2,Cold,110
1849,3,Cold,111
1849,4,Cold,112
1849,5,Cool,113
1849,6,Cool,114
1849,7,OK,115
1849,8,Cool,116
1849,9,Cool,117
1849,10,Cool,118
1849,11,Cool,119
1849,12,Cold,120
1850,1,Cold,121
1850,2,Cold,122
1850,3,Cold,123
1850,4,Cold,124
1850,5,Cool,125
1850,6,Cool,126
1850,7,OK,127
1850,8,Cool,128
1850,9,Cool,129
1850,10,Cool,130
1850,11,Cold,131
1850,12,Cold,132
1851,1,Cold,133
1851,2,Cold,134
1851,3,Cold,135
